exchange,market,best bid (USD),bid depth (BSV), best ask (USD),ask depth (BSV), market price (USD),total depth (BSV)
bitfinex,BSV/USD,64.135,20.07928017,64.344,2.32786607,64.15671289478004,22.40714624
bitfinex2,BSV/USD,64.14,21.2349806,64.344,2.32786607,64.16015396038225,23.56284667
bittrex,BSV/USD,62.442,150.0,62.802,6.859,62.45774178083501,156.859
dsx,BSV/USD,61.0,17.002,64.48623,50.0,63.60158651980539,67.002
kraken,BSV/USD,62.6,2.0,62.8,64.202,62.79395788646868,66.202
lykke,BSV/USD,62.224,50.0,63.077,50.0,62.650499999999994,100.0
okcoinusd,BSV/USD,61.8,2.0,62.57,50.0,62.54038461538461,52.0
rightbtc,BSV/USD,62.53,0.921,62.807,0.012,62.53356270096463,0.933
southxchange,BSV/USD,62.8938,1.908,64.3832,0.49,63.198139449541294,2.3979999999999997
yobit,BSV/USD,67.55996436,0.01013688,74.4884688,0.02424445,72.44569098751435,0.03438133
