exchange,market,best bid (USD),bid depth (BTG), best ask (USD),ask depth (BTG), market price (USD),total depth (BTG)
bitbay,BTG/USD,11.58,1.0224538,14.24,5.3,13.809830449690276,6.3224538
bitfinex,BTG/USD,11.681,9.34247432,11.721,65.30532675,11.715993838164774,74.64780107000001
bitfinex2,BTG/USD,11.681,9.34247432,11.721,65.30532675,11.715993838164774,74.64780107000001
cex,BTG/USD,11.57,49.273008,11.67,18.53659449,11.59733623824551,67.80960249
dsx,BTG/USD,10.53,0.502,11.7,0.5,11.113832335329342,1.002
exmo,BTG/USD,11.80010001,185.32,11.88070198,2.06273861,11.800987289142116,187.38273861
livecoin,BTG/USD,11.16427,0.71112409,12.68445,0.03229344,11.23030535649637,0.74341753
lykke,BTG/USD,12.001,0.94339,12.1,0.1,12.010488302552258,1.04339
southxchange,BTG/USD,11.4729,3.1889,11.5871,2.115,11.518438754501403,5.3039000000000005
yobit,BTG/USD,4.83255033,7.17012708,5.1,3.9e-07,4.832550344547212,7.170127470000001
