exchange,market,best bid (USD),bid depth (DASH), best ask (USD),ask depth (DASH), market price (USD),total depth (DASH)
bitbay,DASH/USD,78.28,0.51371888,88.95,0.1304732,80.44107755314221,0.6441920800000001
bitfinex,DASH/USD,79.088,1.01753553,79.188,7.31886161,79.17579406123639,8.336397139999999
bitfinex2,DASH/USD,79.095,1.01742305,79.189,5,79.17310652435347,6.01742305
bitlish,DASH/USD,76.7,215.97,77.9,189.68,77.2611142610625,405.65
bitsane,DASH/USD,10.0,0.005,92.155,0.00242352,36.82073808651422,0.00742352
ccex,DASH/USD,66.00000001,2.65151515,97.0,0.5,70.91826924154724,3.15151515
cex,DASH/USD,78.16,6.458907,79.45,5.930408,78.77748581903035,12.389315
exmo,DASH/USD,80.03926327,0.13933628,80.59406932,2.162832,80.56049027549656,2.30216828
kraken,DASH/USD,77.234,0.17,77.442,0.136,77.32644444444443,0.30600000000000005
liquid,DASH/USD,55.11,5.44400288,142.994,0.1,56.69520841172435,5.54400288
livecoin,DASH/USD,77.94809,0.11660042,79.99999,0.05327,78.59154936744018,0.16987042
lykke,DASH/USD,80.01,0.14151,85.0,0.1,82.07616703242103,0.24151
qryptos,DASH/USD,55.11,5.44400288,142.994,0.1,56.69520841172435,5.54400288
quoinex,DASH/USD,55.11,5.44400288,142.994,0.1,56.69520841172435,5.54400288
southxchange,DASH/USD,77.8858,1.107,79.8932,0.4862,78.49840223449661,1.5932
yobit,DASH/USD,86.00532162,0.00567113,90.64161857,0.00979671,88.9417663138315,0.01546784
