exchange,market,best bid (USD),bid depth (ETC), best ask (USD),ask depth (ETC), market price (USD),total depth (ETC)
bitfinex,ETC/USD,4.2439,93.999,4.2448,25.44769085,4.244091741785411,119.44669085
bitfinex2,ETC/USD,4.245,23.25574582,4.2457,103.65506475,4.245571728641549,126.91081057
bittrex,ETC/USD,4.132,1664.0929828,4.152,400.13422466,4.135876842851542,2064.22720746
ccex,ETC/USD,4.50000001,2.469e-05,4.77,0.7109,4.769990623057762,0.71092469
coinbaseprime,ETC/USD,4.41,121.88998589,4.42,177.51403717,4.415928912890206,299.40402306
coinbasepro,ETC/USD,4.41,121.88998589,4.42,177.51403717,4.415928912890206,299.40402306
exmo,ETC/USD,4.26070508,132.43356,4.26999996,2.0286777,4.260845315028829,134.4622377
gdax,ETC/USD,4.41,121.88998589,4.42,177.36320761,4.415926860981352,299.2531935
kraken,ETC/USD,4.137,37.197,4.141,26.111,4.138649775699753,63.30800000000001
lykke,ETC/USD,4.24845,0.01,4.72049,1.3073,4.716906609732027,1.3173
okcoinusd,ETC/USD,4.09,0.6,4.1397,80.1,4.139330483271376,80.69999999999999
okex,ETC/USD,4.163,13.0,4.169,44.0,4.167631578947368,57.0
southxchange,ETC/USD,4.1333,151.5,4.2599,7.65088,4.139386057507191,159.15088
yobit,ETC/USD,4.48,4.56232731,4.49991697,10.67839399,4.493954802306306,15.2407213
