exchange,market,best bid (USD),bid depth (ETH), best ask (USD),ask depth (ETH), market price (USD),total depth (ETH)
bitbay,ETH/USD,125.61,3.9805748,126.97,0.33342776,125.71511392779517,4.31400256
bitfinex,ETH/USD,129.99,4.5,130.0,116.0,129.9996265560166,120.5
bitfinex2,ETH/USD,129.99,3,130,116,129.99974789915967,119
bitlish,ETH/USD,125.97,2.99,127.15,917.05506102,127.14616518782668,920.04506102
bitmex,ETH/USD,126.65,210846,126.7,16791,126.65368810869938,227637
bitsane,ETH/USD,47.33,0.05,141.651,11.20074998,141.23182349991038,11.25074998
bitstamp,ETH/USD,126.65,11.44555017,126.78,5.29,126.69109216566021,16.73555017
bittrex,ETH/USD,126.582,63.47696534,126.824,170.19397468,126.75826043644552,233.67094002
btcalpha,ETH/USD,129.41,0.06385804,129.49,0.00608925,129.41696438704057,0.06994729000000001
ccex,ETH/USD,135.55,0.008757,165.0,0.010484,151.5966607764669,0.019241
cex,ETH/USD,129.18,9.0,129.66,0.468,129.20372623574147,9.468
coinbaseprime,ETH/USD,126.68,39.80070441,126.71,46.70042294,126.69619646738859,86.50112735
coinbasepro,ETH/USD,126.68,39.80070441,126.71,46.70042294,126.69619646738859,86.50112735
crex24,ETH/USD,128.2,2.793,130.0,0.54,128.49162916291627,3.333
dsx,ETH/USD,126.2728,1.5517,126.81895,31.2349,126.79310221599677,32.7866
ethfinex,ETH/USD,130.19,2.0,130.21,59.0,130.20934426229508,61.0
exmo,ETH/USD,131.2001312,0.57680756,131.4,0.1603,131.24359699845147,0.73710756
gatecoin,ETH/USD,130.0,25.0,160.0,0.1,130.1195219123506,25.1
gdax,ETH/USD,126.92,4.0,126.95,0.2049,126.92146186591832,4.2049
gemini,ETH/USD,126.85,4.0,126.94,4.0,126.895,8.0
independentreserve,ETH/USD,125.59,63.88849827,127.85,46.46690165,126.5416090540665,110.35539992
kraken,ETH/USD,126.92,31.029,127.09,120.206,127.05512097067475,151.235
liquid,ETH/USD,126.88459,8.0,126.98502,0.0101,126.88471663300085,8.0101
livecoin,ETH/USD,130.41001,0.17095766,134.83,1.2459,134.29668520843273,1.41685766
lykke,ETH/USD,126.48204,0.01,128.00861,0.01,127.24532500000001,0.02
okcoinusd,ETH/USD,126.13,0.723,126.54,0.308,126.25248302618816,1.031
okex,ETH/USD,127.159,256.0,127.161,726.0,127.16047861507128,982.0
qryptos,ETH/USD,126.91764,8.0,127.12017,13.3599,127.04431571229266,21.3599
quoinex,ETH/USD,126.91772,3.2402,127.17919,13.3599,127.12815325359485,16.6001
rightbtc,ETH/USD,126.76,0.02,127.29,0.01,126.93666666666668,0.03
southxchange,ETH/USD,127.2058,0.7,130.5123,2.60284,129.8115243039324,3.3028399999999998
yobit,ETH/USD,137.12216953,2.28888346,138.5993564,0.08101102,137.17266478034944,2.36989448
