exchange,market,best bid (USD),bid depth (XRP), best ask (USD),ask depth (XRP), market price (USD),total depth (XRP)
bitbay,XRP/USD,0.3,10406.33153333,0.31,9899.5,0.30487520049782296,20305.831533329998
bitfinex,XRP/USD,0.31138,7000.0,0.3115,38.0,0.3113806479113384,7038.0
bitfinex2,XRP/USD,0.31138,7000,0.3115,38,0.3113806479113384,7038
bitsane,XRP/USD,0.291001,2325.2497,0.32784,1014.862,0.30219418890383215,3340.1117
bitstamp,XRP/USD,0.30315,9681.7136633,0.304,33.22259136,0.3031529067820844,9714.936254659999
bittrex,XRP/USD,0.302,183153.32690274,0.304,65828.47690906,0.3025287814282109,248981.8038118
btcalpha,XRP/USD,0.31,322.58064516,0.3347,59.58,0.3138508046776608,382.16064516
cex,XRP/USD,0.3104,7000.0,0.3116,1035.507278,0.3105546397371828,8035.507278
coinbaseprime,XRP/USD,0.3037,11000.0,0.3038,37180.0,0.3037771689497717,48180.0
coinbasepro,XRP/USD,0.3037,11000.0,0.3038,37180.0,0.3037771689497717,48180.0
exmo,XRP/USD,0.31366411,21.25449175,0.31448984,3.1881,0.31377181174619473,24.44259175
gdax,XRP/USD,0.3037,11000.0,0.3038,36603.0,0.30377689221267573,47603.0
independentreserve,XRP/USD,0.30101,3859.934,0.30764,564.508,0.3018559118777012,4424.442
kraken,XRP/USD,0.30368,2000.0,0.30392,48721.288,0.30391053651792127,50721.288
liquid,XRP/USD,0.30327,7581.926008,0.3037,688.566,0.30330579997172036,8270.492008000001
livecoin,XRP/USD,0.30597,18.31415181,0.31584,32.14203,0.31225747211381594,50.45618181
lykke,XRP/USD,0.30249,4.6865,0.30565,4000.0,0.305646301997672,4004.6865
okcoinusd,XRP/USD,0.2987,8332.0,0.3034,22591.835,0.3021336499499496,30923.835
okex,XRP/USD,0.303,895.0,0.3034,125.0,0.30304901960784314,1020.0
qryptos,XRP/USD,0.30335,4986.0,0.3037,13106.639992,0.303603546414411,18092.639992
quoinex,XRP/USD,0.30335,4986.0,0.3037,13106.639992,0.303603546414411,18092.639992
rightbtc,XRP/USD,0.304,770.284,0.3041,770.284,0.30405000000000004,1540.568
yobit,XRP/USD,0.33000005,2308.41795538,0.33010002,1.13648159,0.3300000991930662,2309.55443697
